STT	MaCoDe	TenNhanVat	TenTaiKhoan	ThoiGianNhan
89	100	NoKiaChu	noilachoi1	2017-02-12 01:22:19
90	100	NhienThu	nhienthu	2017-02-12 09:17:51
91	100	ÙJejuÙ	tta5	2017-02-12 13:29:24
92	100	0000002	buonthichiu361	2017-02-12 15:29:52
93	100	ÙThÇnÙ	quyhung2	2017-02-12 15:30:54
94	100	N¨mÙCam	tranquocquangdn2	2017-02-12 15:31:15
95	103	bactruong	truongbinh3	2017-02-12 15:40:36
96	103	taovanlatao	truongbinh1	2017-02-12 15:44:07
97	100	8ÙKıÙTù	0909175069	2017-02-12 19:18:30
98	101	BDÙLóaÙVÒ	hiptel90	2017-02-12 21:22:43
99	100	BDÙTróngÙ§i	nannhan	2017-02-12 21:23:23
100	105	GHKÙSonÙBai	dui1993	2017-02-12 21:51:13
101	100	NuTuongNgaMy	accnhs2	2017-02-13 00:51:08
102	100	ChóÙThoßng	utkjetkute	2017-02-13 06:57:06
103	103	DòngÙ013	kslovekjll23	2017-02-13 07:09:44
104	101	BĞÙB¸nÙD©m	caytientranohp1	2017-02-13 07:11:01
105	104	DòngÙ56	kslovekjll40	2017-02-13 07:13:01
106	102	Ù19Ù02Ù1997	dat1902	2017-02-13 07:17:30
107	103	TruongTieuPham	bia1	2017-02-13 12:30:56
108	102	H¶iÙQu©nÙ§¸nhÙBé	aphong	2017-02-13 13:15:57
109	100	Suzuki4	cuongtamka	2017-02-13 13:19:56
110	100	S¬nThiÕuGia	anhsonhpno6	2017-02-13 14:13:55
111	100	SatThuPhiDepMu	boxmaa	2017-02-13 14:20:40
112	101	Ma§aoHäCh©u	baorua	2017-02-13 14:21:45
113	102	anhlabom	anhlabom2007	2017-02-13 16:08:34
114	102	VDsssada	okokok7	2017-02-13 18:32:36
115	100	TadashiTVb	tadashi2	2017-02-13 18:49:33
116	100	TiepTucNua	13l4ck	2017-02-13 22:35:18
117	100	TNÙCrazy	kofaiem2	2017-02-13 23:21:52
118	100	GameÙNh­ÙLån	thaihien2	2017-02-13 23:23:38
119	100	oqwieoqiw	mrchuotcon2	2017-02-13 23:36:35
120	100	HaNhanNga	anhsonhpno1	2017-02-13 23:53:33
121	100	ChñÙTŞch	dothanhhao	2017-02-14 00:05:24
122	100	LıTÇmBËy	huynhanh4	2017-02-14 00:07:41
123	103	ThİchThŞtChã	huynhanh2	2017-02-14 00:10:16
124	103	ConC¸ChµBÆc	huynhanh6	2017-02-14 00:13:56
125	104	Blue04	binhminh04	2017-02-14 03:07:31
126	109	Fire00	binhminh00	2017-02-14 03:11:15
127	103	SaTurn	binhminh03	2017-02-14 03:12:18
128	105	Heart01	binhminh01	2017-02-14 03:13:20
129	101	H¶iÙQu©n	quyhung	2017-02-14 06:30:42
130	100	H¶iÙÙQu©n	quyhung1	2017-02-14 06:35:11
131	100	ThiªnÙNhÉnÙB¸	bosschay1	2017-02-14 06:45:38
132	102	ThuècÙChuét	vuatocdo10	2017-02-14 06:46:28
133	102	MaxBua	vuatocdo8	2017-02-14 06:57:13
134	100	MaxChay	vuatocdo9	2017-02-14 06:58:06
135	101	S­ÙThÇyÙChuét	vuatocdo11	2017-02-14 06:58:54
136	100	§TBKÙALoÙola	bosschay3	2017-02-14 06:59:45
137	102	taolatao	truongbinh	2017-02-14 08:11:28
138	103	tieutien	truongbinh2	2017-02-14 08:16:17
139	100	H¾cÙXµ	baokhanh21	2017-02-14 08:38:21
140	101	buffpld1	okokok0	2017-02-14 08:53:11
141	100	C«nÙL«n	ethaihien5	2017-02-14 09:54:26
142	100	HNNGNO03	anhsonhpno3	2017-02-14 09:55:21
143	100	PhathienHoaThan	nhantran1221992	2017-02-14 12:50:27
144	101	PhaThienAnhHung	nhantran1221991	2017-02-14 12:52:57
145	100	DiÖpÙVÊn	baokhanh24	2017-02-14 14:52:38
146	100	WTFÙTiÓuÙMüÙN÷	dothanhhaooo	2017-02-14 16:47:27
147	101	LyNamVuong	volammienphi2	2017-02-14 18:20:31
148	100	zzHo¶CaVe	lequangdinh55	2017-02-14 18:33:36
149	100	BoBJfx	t004hai4	2017-02-14 18:42:41
150	100	LaoDai2	anhliemcd1	2017-02-14 20:57:43
151	104	CöaÙPhËtÙHoaÙR¬i	hphoanganh09	2017-02-15 00:06:33
152	101	EmChiBuffThoi	nguyenphu2	2017-02-15 02:00:49
153	100	DiÖpÙTûÙTû	baokhanh22	2017-02-15 10:02:53
154	105	BĞÙB¸nÙ§¸	hoan111	2017-02-15 10:26:57
155	100	TNfsfsg	okokok6	2017-02-15 11:54:14
156	108	H¾cÙPhong2	cuongka	2017-02-15 14:05:52
157	100	6666667	tapcay6	2017-02-15 16:39:02
158	100	HeHoaÙ	hoangmap03	2017-02-15 17:04:54
159	100	Th¸nhN÷L©mH»ng	kubi12	2017-02-15 17:39:16
160	104	G¸iÙN¨mÙCam	tranquocquangdn4	2017-02-15 18:19:21
161	101	BªÙ§ªÙChóa	lenovobt	2017-02-15 18:21:36
